time,amplitude,label,wind_speed
0.421,0.05131,1,1.3
0.422,0.15877,1,1.3
0.423,-0.0232,1,1.3
0.424,0.008620000000000001,1,1.3
0.425,0.03714,1,1.3
0.426,0.010709999999999999,1,1.3
0.427,0.01813,1,1.3
0.428,-0.03193,1,1.3
0.429,0.0547,1,1.3
0.43,-0.02531,1,1.3
0.431,-0.057600000000000005,1,1.3
0.432,-0.01859,1,1.3
0.433,0.04503,1,1.3
0.434,0.01152,1,1.3
0.435,-0.02009,1,1.3
0.436,-0.0216,1,1.3
0.437,0.00201,1,1.3
0.438,0.08337,1,1.3
0.439,0.04825,1,1.3
0.44,0.00475,1,1.3
0.441,-0.0027300000000000002,1,1.3
0.442,-0.010169999999999998,1,1.3
0.443,-0.09942,1,1.3
0.444,0.03617,1,1.3
0.445,0.03053,1,1.3
0.446,0.02022,1,1.3
0.447,0.01877,1,1.3
0.448,-0.01388,1,1.3
0.449,-0.043559999999999995,1,1.3
0.45,0.009909999999999999,1,1.3
0.451,0.02892,1,1.3
0.452,0.00314,1,1.3
0.453,0.09497,1,1.3
0.454,-0.0898,1,1.3
0.455,0.00218,1,1.3
0.456,-0.01949,1,1.3
0.457,-0.01608,1,1.3
0.458,0.0468,1,1.3
0.459,0.04729,1,1.3
0.46,0.04004,1,1.3
0.461,0.11882000000000001,1,1.3
0.462,-0.01007,1,1.3
0.463,-0.04888,1,1.3
0.464,0.02876,1,1.3
0.465,0.01555,1,1.3
0.466,0.000403,1,1.3
0.467,0.05647,1,1.3
0.468,-0.048279999999999997,1,1.3
0.469,0.02586,1,1.3
0.47,0.0028200000000000005,1,1.3
0.471,-0.011770000000000001,1,1.3
0.472,0.005240000000000001,1,1.3
0.473,-0.01859,1,1.3
0.474,-0.05158,1,1.3
0.475,-0.03133,1,1.3
0.476,-0.01678,1,1.3
0.477,0.01104,1,1.3
0.478,0.03617,1,1.3
0.479,0.000725,1,1.3
0.48,0.00443,1,1.3
0.481,-0.01388,1,1.3
0.482,0.16538,1,1.3
0.483,-0.02009,1,1.3
0.484,0.02231,1,1.3
0.485,0.01506,1,1.3
0.486,0.00411,1,1.3
0.487,0.01845,1,1.3
0.488,-0.01919,1,1.3
0.489,0.02602,1,1.3
0.49,0.057600000000000005,1,1.3
0.491,0.01007,1,1.3
0.492,0.00427,1,1.3
0.493,-0.03924999999999999,1,1.3
0.494,-0.02942,1,1.3
0.495,-0.043359999999999996,1,1.3
0.496,0.00298,1,1.3
0.497,-0.01839,1,1.3
0.498,0.07,1,1.3
0.499,-0.00469,1,1.3
0.0,-0.02982,1,2.1
0.001,-0.01327,1,2.1
0.002,0.03295,1,2.1
0.003,0.00926,1,2.1
0.004,0.00204,1,2.1
0.005,0.08805,1,2.1
0.006,0.01136,1,2.1
0.007,0.05019,1,2.1
0.008,-0.052989999999999995,1,2.1
0.009,-0.04306,1,2.1
0.01,0.00459,1,2.1
0.011,-0.01598,1,2.1
0.012,-0.043359999999999996,1,2.1
0.013,0.00185,1,2.1
0.014,-0.02912,1,2.1
0.015,0.045840000000000006,1,2.1
0.016,0.11705,1,2.1
0.017,0.07677,1,2.1
0.018,0.07016,1,2.1
0.019,-0.024810000000000002,1,2.1
0.02,-0.09942,1,2.1
0.021,0.04777,1,2.1
0.022,0.02892,1,2.1
0.023,0.01877,1,2.1
0.024,0.0050799999999999994,1,2.1
0.025,0.11479,1,2.1
0.026,-0.01919,1,2.1
0.027,0.01474,1,2.1
0.028,-0.044770000000000004,1,2.1
0.029,-0.01327,1,2.1
0.03,0.040679999999999994,1,2.1
0.031,-0.01668,1,2.1
0.032,-0.03554,1,2.1
0.033,-0.0225,1,2.1
0.034,-0.00371,1,2.1
0.035,0.0149,1,2.1
0.036,0.01974,1,2.1
0.037,0.08466,1,2.1
0.038,0.04954,1,2.1
0.039,0.12059,1,2.1
0.04,0.00121,1,2.1
0.041,-0.02882,1,2.1
0.042,-0.012669999999999999,1,2.1
0.043,0.01974,1,2.1
0.044,0.00121,1,2.1
0.045,0.007169999999999999,1,2.1
0.046,-0.04436,1,2.1
0.047,-0.023600000000000003,1,2.1
0.048,-0.026410000000000003,1,2.1
0.049,0.09417,1,2.1
0.05,-0.03093,1,2.1
0.051,-0.02872,1,2.1
0.052,0.03617,1,2.1
0.053,-0.03363,1,2.1
0.054,-0.01678,1,2.1
0.055,0.02763,1,2.1
0.056,0.04777,1,2.1
0.057,0.02103,1,2.1
0.058,0.03359,1,2.1
0.059,-0.03183,1,2.1
0.06,-0.03313,1,2.1
0.061,-0.02611,1,2.1
0.062,0.0518,1,2.1
0.063,-0.0209,1,2.1
0.064,0.03987,1,2.1
0.065,-0.04948,1,2.1
0.066,-0.03183,1,2.1
0.067,0.02683,1,2.1
0.068,-0.0017599999999999998,1,2.1
0.069,-0.03072,1,2.1
0.07,-0.035339999999999996,1,2.1
0.071,0.011999999999999999,1,2.1
0.072,-0.045770000000000005,1,2.1
0.073,-0.022000000000000002,1,2.1
0.074,0.0050799999999999994,1,2.1
0.075,0.00604,1,2.1
0.076,0.04648,1,2.1
0.077,0.12059,1,2.1
0.078,0.06469,1,2.1
0.079,0.039709999999999995,1,2.1
0.08,0.01136,1,2.1
0.081,0.021830000000000002,1,2.1
0.082,0.00801,1,2.1
0.083,0.00572,1,2.1
0.084,0.00379,1,2.1
0.085,0.11753,1,2.1
0.086,0.01813,1,2.1
0.087,0.00975,1,2.1
0.088,-0.0225,1,2.1
0.089,-0.012570000000000001,1,2.1
0.09,-0.013170000000000001,1,2.1
0.091,0.030690000000000002,1,2.1
0.092,-0.040749999999999995,1,2.1
0.093,-0.0228,1,2.1
0.094,0.0028200000000000005,1,2.1
0.095,0.01813,1,2.1
0.096,0.08224999999999999,1,2.1
0.097,0.12090999999999999,1,2.1
0.098,0.06614,1,2.1
0.099,-0.0572,1,2.1
0.1,-0.0205,1,2.1
0.101,-0.024710000000000003,1,2.1
0.102,0.07435,1,2.1
0.103,0.0010500000000000002,1,2.1
0.104,0.02376,1,2.1
0.105,-0.012669999999999999,1,2.1
0.106,-0.07295,1,2.1
0.107,-0.02671,1,2.1
0.108,0.06549,1,2.1
0.109,0.12059,1,2.1
0.11,-0.05058,1,2.1
0.111,-0.05038,1,2.1
0.112,-0.01358,1,2.1
0.113,-0.027620000000000002,1,2.1
0.114,0.014419999999999999,1,2.1
0.115,0.01152,1,2.1
0.116,0.11801,1,2.1
0.117,-0.06693,1,2.1
0.118,-0.02862,1,2.1
0.119,0.08821000000000001,1,2.1
0.12,0.01925,1,2.1
0.121,-0.020999999999999998,1,2.1
0.122,0.04809,1,2.1
0.123,-0.01077,1,2.1
0.124,0.019090000000000003,1,2.1
0.125,-0.02501,1,2.1
0.126,-0.05138,1,2.1
0.127,0.042449999999999995,1,2.1
0.128,0.01361,1,2.1
0.129,-0.06553,1,2.1
0.13,-0.02009,1,2.1
0.131,-0.03183,1,2.1
0.132,-0.05229,1,2.1
0.133,0.006359999999999999,1,2.1
0.134,-0.03875,1,2.1
0.135,0.053090000000000005,1,2.1
0.136,0.06984,1,2.1
0.137,0.08756,1,2.1
0.138,0.02393,1,2.1
0.139,0.02828,1,2.1
0.14,-0.02461,1,2.1
0.141,-0.024810000000000002,1,2.1
0.142,-0.01979,1,2.1
0.143,0.0083,1,2.1
0.144,0.0083,1,2.1
0.145,-0.02882,1,2.1
0.146,0.00765,1,2.1
0.147,-0.046369999999999995,1,2.1
0.148,-0.03474,1,2.1
0.149,-0.07174,1,2.1
0.15,-0.05259,1,2.1
0.151,0.01974,1,2.1
0.152,-0.000782,1,2.1
0.153,-0.03764,1,2.1
0.154,-0.00762,1,2.1
0.155,-0.0206,1,2.1
0.156,0.0779,1,2.1
0.157,0.02666,1,2.1
0.158,-0.02019,1,2.1
0.159,-0.06412,1,2.1
0.16,0.042449999999999995,1,2.1
0.161,0.014580000000000001,1,2.1
0.162,0.026340000000000002,1,2.1
0.163,0.02844,1,2.1
0.164,0.00379,1,2.1
0.165,0.04857,1,2.1
0.166,0.00781,1,2.1
0.167,0.03633,1,2.1
0.168,0.03134,1,2.1
0.169,0.052919999999999995,1,2.1
0.17,-0.03022,1,2.1
0.171,-0.03103,1,2.1
0.172,-0.01899,1,2.1
0.173,-0.01478,1,2.1
0.174,-0.03183,1,2.1
0.175,0.01345,1,2.1
0.176,0.062110000000000005,1,2.1
0.177,0.03279,1,2.1
0.178,-0.04587,1,2.1
0.179,0.01249,1,2.1
0.18,0.11302,1,2.1
0.181,-0.04136,1,2.1
0.182,0.046959999999999995,1,2.1
0.183,-0.017390000000000003,1,2.1
0.184,0.030690000000000002,1,2.1
0.185,0.06098,1,2.1
0.186,0.00556,1,2.1
0.187,-0.06873,1,2.1
0.188,-0.04045,1,2.1
0.189,0.042449999999999995,1,2.1
0.19,-0.029320000000000002,1,2.1
0.191,-0.010369999999999999,1,2.1
0.192,-0.05419,1,2.1
0.193,-0.02029,1,2.1
0.194,-0.019889999999999998,1,2.1
0.195,0.0062,1,2.1
0.196,0.00234,1,2.1
0.197,0.08611,1,2.1
0.198,0.08756,1,2.1
0.199,0.15475,1,2.1
0.2,0.01829,1,2.1
0.201,-0.04326,1,2.1
0.202,0.03311,1,2.1
0.203,-0.02862,1,2.1
0.204,0.05067000000000001,1,2.1
0.205,-0.047270000000000006,1,2.1
0.206,-0.03704,1,2.1
0.207,-0.02812,1,2.1
0.208,-0.03263,1,2.1
0.209,-0.06332,1,2.1
0.21,0.01861,1,2.1
0.211,-0.03434,1,2.1
0.212,-0.06853,1,2.1
0.213,0.0228,1,2.1
0.214,-0.03143,1,2.1
0.215,0.05695,1,2.1
0.216,0.06420000000000001,1,2.1
0.217,0.10383999999999999,1,2.1
0.218,-0.03072,1,2.1
0.219,0.01829,1,2.1
0.22,0.08080000000000001,1,2.1
0.221,0.00613,1,2.1
0.222,0.06452000000000001,1,2.1
0.223,-0.027209999999999998,1,2.1
0.224,0.048409999999999995,1,2.1
0.225,-0.03985,1,2.1
0.226,-0.035140000000000005,1,2.1
0.227,-0.04486999999999999,1,2.1
0.228,-0.02731,1,2.1
0.229,-0.06743,1,2.1
0.23,-0.03153,1,2.1
0.231,-0.04757,1,2.1
0.232,-0.04527,1,2.1
0.233,0.01861,1,2.1
0.234,-0.03052,1,2.1
0.235,0.02908,1,2.1
0.236,0.09256,1,2.1
0.237,0.03311,1,2.1
0.238,0.02409,1,2.1
0.239,-0.01307,1,2.1
0.24,0.043899999999999995,1,2.1
0.241,-0.01117,1,2.1
0.242,-0.01398,1,2.1
0.243,0.01555,1,2.1
0.244,-0.01157,1,2.1
0.245,0.04535,1,2.1
0.246,0.01152,1,2.1
0.247,0.0054,1,2.1
0.248,-0.03614,1,2.1
0.249,-0.030019999999999998,1,2.1
0.25,-0.04978,1,2.1
0.251,0.08966,1,2.1
0.252,0.04712,1,2.1
0.253,-0.04777,1,2.1
0.254,0.0050799999999999994,1,2.1
0.255,0.012969999999999999,1,2.1
0.256,0.11705,1,2.1
0.257,0.04857,1,2.1
0.258,0.04374,1,2.1
0.259,0.06952,1,2.1
0.26,-0.01057,1,2.1
0.261,-0.00566,1,2.1
0.262,0.036809999999999996,1,2.1
0.263,0.0010500000000000002,1,2.1
0.264,0.012329999999999999,1,2.1
0.265,0.05002,1,2.1
0.266,-0.0228,1,2.1
0.267,-0.053489999999999996,1,2.1
0.268,0.0062,1,2.1
0.269,0.08257,1,2.1
0.27,-0.059309999999999995,1,2.1
0.271,-0.03143,1,2.1
0.272,-0.015380000000000001,1,2.1
0.273,-0.02902,1,2.1
0.274,-0.01388,1,2.1
0.275,0.02376,1,2.1
0.276,0.09804,1,2.1
0.277,0.00215,1,2.1
0.278,0.043899999999999995,1,2.1
0.279,0.10448,1,2.1
0.28,0.02779,1,2.1
0.281,-0.01107,1,2.1
0.282,-0.03805,1,2.1
0.283,0.04052,1,2.1
0.284,-0.01157,1,2.1
0.285,0.09578,1,2.1
0.286,-0.024810000000000002,1,2.1
0.287,0.026340000000000002,1,2.1
0.288,-0.053489999999999996,1,2.1
0.289,-0.08869,1,2.1
0.29,-0.02581,1,2.1
0.291,-0.04968,1,2.1
0.292,-0.029320000000000002,1,2.1
0.293,-0.041260000000000005,1,2.1
0.294,0.01796,1,2.1
0.295,-0.03474,1,2.1
0.296,0.08482,1,2.1
0.297,-0.034030000000000005,1,2.1
0.298,0.0091,1,2.1
0.299,-0.059109999999999996,1,2.1
0.3,0.044219999999999995,1,2.1
0.301,0.08708,1,2.1
0.302,-0.05459,1,2.1
0.303,0.01877,1,2.1
0.304,-0.02401,1,2.1
0.305,0.10206,1,2.1
0.306,0.00204,1,2.1
0.307,-0.01438,1,2.1
0.308,0.01893,1,2.1
0.309,-0.019889999999999998,1,2.1
0.31,-0.03383,1,2.1
0.311,0.02924,1,2.1
0.312,-0.04266,1,2.1
0.313,-0.03434,1,2.1
0.314,0.011999999999999999,1,2.1
0.315,-0.0233,1,2.1
0.316,0.05953,1,2.1
0.317,0.03617,1,2.1
0.318,-0.058199999999999995,1,2.1
0.319,-0.03985,1,2.1
0.32,0.03907,1,2.1
0.321,0.09417,1,2.1
0.322,0.0149,1,2.1
0.323,-0.014079999999999999,1,2.1
0.324,0.05856,1,2.1
0.325,-0.04687,1,2.1
0.326,-0.02511,1,2.1
0.327,-0.08478,1,2.1
0.328,-0.07034,1,2.1
0.329,0.07919000000000001,1,2.1
0.33,0.06904,1,2.1
0.331,0.0025,1,2.1
0.332,-0.07275000000000001,1,2.1
0.333,0.0228,1,2.1
0.334,-0.03774,1,2.1
0.335,0.06565,1,2.1
